area;ciudad;conglomerado;panelm;vivienda;hogar;vi01;vi02;vi03a;vi03b;vi04a;vi04b;vi05a;vi05b;vi06;vi07;vi07a;vi07b;vi08;vi09;vi09a;vi09b;vi10;vi101;vi102;vi10a;vi11;vi12;vi13;vi14;vi141;vi142;vi143;vi144;vi1511;vi1521;vi1512;vi1522;vi1531;vi1541;vi1532;vi1542;vi1533;vi1543;vi1534;vi1544;vi1535;vi1545;vi1536;vi1546;eqt19a011;eqt19a021;eqt19a012;eqt19a022;eqt19a013;eqt19a023;eqt19a014;eqt19a024;eqt19a015;eqt19a025;eqt19a016;eqt19a026;vi20;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;180150;008302;068;06;1;1;2;1;1;2;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;150;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;1;1;1;1;2;1;2913;126,675148029421;180150008302;18015000830206806;180150008302068061;202507
1;180150;008302;068;07;1;1;2;1;1;1;1;1;1;5;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;120; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2; ;2; ;1;3;1;3;1;1;1;2913;126,675148029421;180150008302;18015000830206807;180150008302068071;202507
1;180150;008501;071;01;1;1;2;2;2;2;2;1;1;3;2;0;1;1;1; ; ;1; ; ;1;2;1;2;5;100; ; ; ;2; ;1;1;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;1;1;1;1;1;2;2912;61,8339750357546;180150008501;18015000850107101;180150008501071011;202507
1;180150;008501;071;02;1;1;2;1;1;2;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;90;1;1;1;1;2;2; ;2; ;1;60;2; ;2; ;2; ;2; ;1;2;2; ;2; ;1;2;1;2;1;2;2;2912;61,8339750357546;180150008501;18015000850107102;180150008501071021;202507
1;180150;008501;071;03;1;1;2;1;1;2;1;1;1;3;2;1;1;1;1; ; ;1; ; ;1;1;1;2;4;200; ; ; ;1;1;2; ;2; ;1;80;2; ;2; ;2; ;2; ;1;1;2; ;2; ;1;2;1;2;1;1;1;2912;61,8339750357546;180150008501;18015000850107103;180150008501071031;202507
1;180150;008501;071;04;1;1;2;1;2;4;1;1;1;6;5;0;1;1;1; ; ;1; ; ;1;1;1;2;5;80; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;4;1;4;1;1;1;2912;61,8339750357546;180150008501;18015000850107104;180150008501071041;202507
1;180150;008501;071;05;1;1;2;2;2;2;2;1;1;4;2;1;1;1;1; ; ;1; ; ;1;1;1;2;4;200; ; ; ;1;1;2; ;1;40;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;2;1;2;2; ;1;2912;61,8339750357546;180150008501;18015000850107105;180150008501071051;202507
1;180150;008501;071;06;1;1;2;1;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;250; ; ; ;1;1;2; ;2; ;1;20;2; ;2; ;2; ;2; ;1;1;2; ;2; ;1;3;1;3;2; ;1;2912;61,8339750357546;180150008501;18015000850107106;180150008501071061;202507
1;180150;008501;071;09;1;1;2;1;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;170;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2; ;2; ;1;1;1;1;1;1;1;2912;61,8339750357546;180150008501;18015000850107109;180150008501071091;202507
1;180150;008802;068;01;1;1;1;4;1;1;1;1;1;9;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;500; ; ; ;1;1;2; ;2; ;1;100;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;2;1;2;1;2;1;2911;20,8937508253622;180150008802;18015000880206801;180150008802068011;202507
1;180150;008802;068;02;1;1;2;1;1;1;1;1;1;5;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;200;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2; ;2; ;1;1;1;1;2; ;1;2911;20,8937508253622;180150008802;18015000880206802;180150008802068021;202507
1;180150;008802;068;03;1;1;1;2;2;2;1;1;1;7;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;120; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;1;1;1;2; ;1;2911;20,8937508253622;180150008802;18015000880206803;180150008802068031;202507
1;180150;008802;068;04;1;1;1;2;2;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;300; ; ; ;1;2;2; ;2; ;1;60;2; ;2; ;2; ;2; ;1;2;2; ;1;1;1;3;1;3;1;2;1;2911;20,8937508253622;180150008802;18015000880206804;180150008802068041;202507
1;180150;008802;068;05;1;1;1;2;1;1;1;1;2;9;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;400; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;1;2; ;2; ;1;1;1;2911;20,8937508253622;180150008802;18015000880206805;180150008802068051;202507
